FACILITY,FIELD_FAB,ALL_LOTS,DATETIME,TEXT,PREDICTION
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:21.11829+01:00,RULE_LTS1 0.0007820129394531 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:34.535112+01:00,RULE_LTS1 0.0008690357208251 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:42.899626+01:00,RULE_LTS1 0.0009322166442871 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:37.31603+01:00,ChangeCarrier_Scan_Go 0.0008668899536132 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:45.03896+01:00,MVOUT_Context_Lot_Scan_Go 0.000795841217041 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:50.109651+01:00,Start_IMPLANT_Scan_Go 0.0008139610290527 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:56.915729+01:00,RULE_LTS1 0.0009379386901855 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:06:54.56922+01:00,MVOUT_Context_Lot_Scan_Go 0.0008919239044189 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:07.993648+01:00,MVOUT_Context_Lot_Scan_Go 0.0010988712310791 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:09.532843+01:00,RULE_LTS1 0.0009059906005859 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:18.27485+01:00,RULE_LTS1 0.0009129047393798 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:19.709046+01:00,RULE_LTS1 0.0008461475372314 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:25.38221+01:00,RULE_LTS1 0.0007569789886474 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:36.537716+01:00,RULE_LTS1 0.0016071796417236 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:36.317383+01:00,PROCESSWORK_TM 0.0007519721984863 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:38.935932+01:00,Start_METAL_RTA_Scan_Go 0.0047650337219238 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:45.075429+01:00,MVOUT_Context_Lot_Scan_Go 0.0008959770202636 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:48.342156+01:00,MVOUT_Context_Lot_Scan_Go 0.0009131431579589 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:55.868591+01:00,Model_Context_Scan_Go 0.0008940696716308 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:07:58.780972+01:00,Model_Context_Scan_Go 0.0009419918060302 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:01.773213+01:00,Model_Context_Scan_Go 0.0009810924530029 CTNSX00362,0
